iter	Passed	Remaining
0	3	375
1	6	322
2	9	303
3	11	277
4	14	275
5	17	269
6	20	265
7	22	262
8	25	258
9	28	254
10	31	255
11	34	253
12	37	249
13	39	245
14	42	242
15	46	242
16	50	244
17	53	243
18	56	241
19	60	240
20	62	236
21	65	232
22	68	228
23	71	224
24	72	218
25	74	211
26	76	205
27	77	200
28	79	194
29	81	189
30	82	183
31	84	179
32	85	174
33	87	170
34	89	166
35	91	162
36	92	158
37	94	154
38	96	150
39	97	146
40	99	142
41	99	138
42	101	134
43	103	131
44	104	128
45	106	125
46	108	122
47	109	119
48	111	116
49	113	113
50	114	110
51	116	107
52	118	104
53	119	102
54	120	98
55	122	96
56	123	93
57	125	90
58	127	88
59	128	85
60	130	83
61	131	80
62	132	77
63	133	75
64	134	72
65	136	70
66	137	67
67	138	65
68	139	62
69	141	60
70	142	58
71	143	55
72	144	53
73	146	51
74	147	49
75	148	46
76	149	44
77	151	42
78	152	40
79	153	38
80	154	36
81	155	34
82	157	32
83	158	30
84	159	28
85	161	26
86	162	24
87	163	22
88	164	20
89	166	18
90	167	16
91	168	14
92	169	12
93	171	10
94	172	9
95	173	7
96	175	5
97	176	3
98	177	1
99	178	0
